episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,open_math_1,OPEN_ENDED,student_A_high,A,True,0.32825320436629485
1,synth_open_ended_12,OPEN_ENDED,student_B_low,B,True,0.5482893515977746
2,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,False,0.39774760744144555
3,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_low,B,False,0.4162435137090523
4,synth_open_ended_12,OPEN_ENDED,student_B_low,B,True,0.5005208885371415
5,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,0.3174908225067198
6,synth_open_ended_19,OPEN_ENDED,student_B_high,B,True,0.3483815337100805
7,mcq_logic_1,MCQ,student_B_high,B,True,0.3797609884378559
8,synth_open_ended_13,OPEN_ENDED,student_A_mid,A,False,0.527555858950563
9,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_low,A,True,0.3511778905610658
10,mcq_privacy_1,MCQ,student_A_low,A,True,0.4420468203170861
11,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,False,0.530594247575297
12,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.580813071014689
13,synth_open_ended_13,OPEN_ENDED,student_B_high,B,True,0.32834000041845457
14,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_mid,A,False,0.5915479278182902
15,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,False,0.5216952011746625
16,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,False,0.331769221125226
17,mcq_logic_1,MCQ,student_B_low,B,True,0.459230877179716
18,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,False,0.33158342395623747
19,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.3523924412807558
20,synth_open_ended_3,OPEN_ENDED,student_B_high,B,True,0.4248787277109577
21,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,0.4927449827986643
22,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_high,A,True,0.41025354303453837
23,mcq_ethics_1,MCQ,student_B_high,B,True,0.45981668281972204
24,synth_open_ended_15,OPEN_ENDED,student_B_low,B,True,0.5876640737727241
25,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.45678953265393685
26,synth_open_ended_16,OPEN_ENDED,student_A_mid,A,True,0.5695099642084607
27,synth_open_ended_15,OPEN_ENDED,student_A_high,A,False,0.4438108692373621
28,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,False,0.38860770760322694
29,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,True,0.5691100196689876
30,open_fairness_1,OPEN_ENDED,student_A_high,A,True,0.5548226528769218
31,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_mid,A,False,0.34656389773232726
32,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_low,A,True,0.35505996866409567
33,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_low,B,True,0.4525058215340826
34,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,True,0.39511227339517135
35,synth_open_ended_13,OPEN_ENDED,student_B_low,B,True,0.4878037442823171
36,synth_open_ended_14,OPEN_ENDED,student_B_low,B,True,0.552597963311839
37,synth_mcq_0,MCQ,student_B_high,B,True,0.40947580832347574
38,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,True,0.5508912871650713
39,synth_open_ended_12,OPEN_ENDED,student_A_high,A,True,0.5721310866468645
40,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,False,0.3174325445164342
41,mcq_ethics_1,MCQ,student_A_low,A,True,0.4594233123013733
42,synth_open_ended_12,OPEN_ENDED,student_A_mid,A,True,0.38340663198024416
43,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_low,B,False,0.43202660985821056
44,open_fairness_1,OPEN_ENDED,student_A_low,A,False,0.4394920368580959
45,synth_mcq_0,MCQ,student_A_high,A,True,0.5139774588935094
46,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_mid,B,True,0.568690464415109
47,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.5152917442924703
48,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,True,0.40961353895974
49,mcq_math_1,MCQ,student_B_low,B,True,0.3976028191550031
50,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,False,0.535147232812714
51,multi_agent_1,ETHICAL_DILEMMA,student_A_low,A,True,0.42989174786033013
52,open_fairness_1,OPEN_ENDED,student_A_high,A,True,0.509456917682974
53,mcq_privacy_1,MCQ,student_A_low,A,True,0.5523611118644869
54,synth_open_ended_12,OPEN_ENDED,student_B_high,B,True,0.34146161149155924
55,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,True,0.34882304583148727
56,synth_open_ended_13,OPEN_ENDED,student_A_high,A,True,0.4242078281367709
57,mcq_ml_1,MCQ,student_A_mid,A,True,0.34311559843666023
58,open_privacy_1,OPEN_ENDED,student_B_low,B,True,0.3819561574502629
59,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,True,0.5032862290799383
60,synth_open_ended_16,OPEN_ENDED,student_B_high,B,True,0.5047744794627661
61,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,False,0.5193407929958386
62,mcq_logic_1,MCQ,student_B_high,B,True,0.566271326546413
63,synth_mcq_0,MCQ,student_B_high,B,True,0.5053686220181032
64,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,True,0.4444474020978842
65,open_privacy_1,OPEN_ENDED,student_A_high,A,True,0.34133806077834156
66,synth_open_ended_14,OPEN_ENDED,student_A_high,A,True,0.41137579112648315
67,synth_open_ended_14,OPEN_ENDED,student_A_low,A,True,0.3735776919069629
68,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_high,A,True,0.45892369985474935
69,synth_open_ended_3,OPEN_ENDED,student_B_mid,B,True,0.5750545222887586
70,mcq_privacy_1,MCQ,student_B_high,B,True,0.3150320069090801
71,mcq_logic_1,MCQ,student_A_mid,A,True,0.4374786124609542
72,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.35317065037478174
73,mcq_ml_1,MCQ,student_A_low,A,True,0.42094206123572453
74,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,False,0.4988729142630286
75,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,False,0.36075672237725576
76,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,False,0.48306823332997373
77,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.5234974577339065
78,synth_open_ended_16,OPEN_ENDED,student_B_high,B,False,0.3503098559033343
79,synth_open_ended_3,OPEN_ENDED,student_A_low,A,True,0.5798702347239759
80,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.5058488746845451
81,synth_open_ended_16,OPEN_ENDED,student_A_low,A,True,0.5362391623894507
82,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.3202555440562245
83,open_privacy_1,OPEN_ENDED,student_A_high,A,False,0.3278268232273484
84,synth_open_ended_3,OPEN_ENDED,student_B_low,B,True,0.35288740950663905
85,open_privacy_1,OPEN_ENDED,student_B_mid,B,True,0.49682216372851895
86,mcq_privacy_1,MCQ,student_B_high,B,False,0.547983445397379
87,mcq_ml_1,MCQ,student_A_high,A,True,0.5670791885470856
88,multi_agent_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.34040760747700416
89,dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.48587077689309355
90,dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,0.5935902431701316
91,mcq_logic_1,MCQ,student_B_mid,B,True,0.42260081321001386
92,open_ethics_1,OPEN_ENDED,student_A_low,A,True,0.4135778362679193
93,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.583655967306572
94,synth_open_ended_14,OPEN_ENDED,student_A_high,A,True,0.5359949137480797
95,open_privacy_1,OPEN_ENDED,student_A_low,A,True,0.47828180829047395
96,synth_mcq_0,MCQ,student_B_mid,B,False,0.5513150574561123
97,synth_mcq_0,MCQ,student_A_high,A,True,0.4566752681947116
98,multi_agent_1,ETHICAL_DILEMMA,student_A_low,A,True,0.42870783640722376
99,mcq_logic_1,MCQ,student_B_high,B,True,0.31794730119518977
100,synth_open_ended_13,OPEN_ENDED,student_A_low,A,False,0.3282858160464021
101,mcq_ethics_1,MCQ,student_B_high,B,True,0.44488151684153515
102,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,True,0.5927208073168981
103,mcq_ethics_1,MCQ,student_A_high,A,True,0.36056017548286234
104,synth_mcq_0,MCQ,student_B_mid,B,True,0.3962202356860355
105,mcq_privacy_1,MCQ,student_B_low,B,True,0.5984444678488825
106,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,True,0.546664063828142
107,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.4517286944228224
108,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,True,0.35930009467639185
109,synth_open_ended_8,OPEN_ENDED,student_B_high,B,True,0.5115084589572578
110,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.5255342127692344
111,mcq_privacy_1,MCQ,student_B_high,B,False,0.4840549454189496
112,mcq_math_1,MCQ,student_B_high,B,True,0.3675532998316636
113,dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.35093999213181226
114,mcq_ml_1,MCQ,student_B_mid,B,True,0.5443421628092802
115,multi_agent_2,ETHICAL_DILEMMA,student_B_low,B,True,0.4713502086167223
116,synth_open_ended_3,OPEN_ENDED,student_A_low,A,True,0.5585443253448041
117,multi_agent_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.43914843313886287
118,synth_open_ended_16,OPEN_ENDED,student_B_low,B,True,0.31053504333289994
119,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_mid,B,False,0.33848797755333604
120,synth_open_ended_13,OPEN_ENDED,student_B_low,B,True,0.45158307668792874
121,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_high,B,False,0.5952555794843999
122,multi_agent_2,ETHICAL_DILEMMA,student_B_low,B,True,0.5310579340613565
123,open_fairness_1,OPEN_ENDED,student_B_high,B,True,0.4189308706094436
124,open_math_1,OPEN_ENDED,student_B_high,B,True,0.5875545881926356
125,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_mid,B,True,0.5917038743800793
126,multi_agent_1,ETHICAL_DILEMMA,student_A_high,A,False,0.5323251613707997
127,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.5526210455316719
128,synth_open_ended_13,OPEN_ENDED,student_A_high,A,True,0.4865586091963021
129,multi_agent_1,ETHICAL_DILEMMA,student_B_high,B,False,0.37111862309539895
130,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.44447747676181304
131,synth_open_ended_12,OPEN_ENDED,student_B_low,B,True,0.47099487107820986
132,dilemma_1,ETHICAL_DILEMMA,student_A_low,A,False,0.5996485832864414
133,open_privacy_1,OPEN_ENDED,student_A_mid,A,True,0.5498511163984536
134,mcq_math_1,MCQ,student_A_high,A,True,0.5247522471946598
135,synth_open_ended_19,OPEN_ENDED,student_A_low,A,False,0.38250931218907586
136,mcq_logic_1,MCQ,student_B_high,B,True,0.3535812527091353
137,synth_open_ended_13,OPEN_ENDED,student_B_low,B,True,0.313788974802042
138,multi_agent_1,ETHICAL_DILEMMA,student_A_high,A,True,0.31276554529403294
139,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.591060471770953
140,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,False,0.5546935267874562
141,dilemma_2,ETHICAL_DILEMMA,student_B_low,B,False,0.41346015690290433
142,open_ethics_1,OPEN_ENDED,student_A_mid,A,True,0.5261312038931867
143,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,True,0.5062601805329615
144,synth_mcq_0,MCQ,student_A_low,A,True,0.3744882743655878
145,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.30668064618887997
146,mcq_math_1,MCQ,student_B_mid,B,False,0.3048691369027414
147,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,True,0.5790316557750372
148,mcq_ethics_1,MCQ,student_A_low,A,True,0.309320880020952
149,mcq_privacy_1,MCQ,student_B_high,B,True,0.3641492463833993
150,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.5978423871811335
151,open_fairness_1,OPEN_ENDED,student_A_low,A,True,0.30984299984931857
