episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,open_math_1,OPEN_ENDED,student_A_high,A,False,0.0
1,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,False,0.0
2,open_math_1,OPEN_ENDED,student_A_mid,A,False,0.0
3,synth_open_ended_12,OPEN_ENDED,student_B_mid,B,False,0.0
4,mcq_ethics_1,MCQ,student_A_mid,A,False,0.0
5,dilemma_3,ETHICAL_DILEMMA,student_B_high,B,False,0.0
6,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
7,multi_agent_2,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
8,synth_mcq_0,MCQ,student_B_mid,B,True,0.0
9,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.0
10,synth_mcq_18,MCQ,student_B_high,B,False,0.0
11,mcq_privacy_1,MCQ,student_A_high,A,False,0.0
12,mcq_privacy_1,MCQ,student_A_mid,A,True,0.0
13,multi_agent_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
14,mcq_ml_1,MCQ,student_A_high,A,False,0.0
15,synth_mcq_0,MCQ,student_B_mid,B,False,0.0
16,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,False,0.0
17,mcq_privacy_1,MCQ,student_A_mid,A,True,0.0
18,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
19,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,0.0
20,multi_agent_1,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
21,multi_agent_1,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
22,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.0
23,synth_mcq_18,MCQ,student_B_high,B,False,0.0
24,synth_open_ended_14,OPEN_ENDED,student_B_mid,B,False,0.0
25,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,False,0.0
26,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,0.0
27,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_high,B,True,0.0
28,synth_open_ended_15,OPEN_ENDED,student_A_mid,A,False,0.0
29,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_mid,B,False,0.0
30,synth_open_ended_12,OPEN_ENDED,student_B_high,B,False,0.0
31,synth_open_ended_1,OPEN_ENDED,student_A_mid,A,False,0.0
32,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,True,0.0
33,open_math_1,OPEN_ENDED,student_B_mid,B,False,0.0
