episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,0.3635310439181515
1,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_low,A,True,1.077161234528766
2,multi_agent_2,ETHICAL_DILEMMA,student_A_low,A,False,0.5077192596055845
3,dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,0.6693899435438541
4,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,1.3199999999999998
5,synth_open_ended_1,OPEN_ENDED,student_A_mid,A,False,2.0135310439181513
6,mcq_ethics_1,MCQ,student_A_mid,A,False,2.478
7,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,0.46208961699126844
8,multi_agent_1,ETHICAL_DILEMMA,student_B_high,B,True,0.4933353858992028
9,multi_agent_1,ETHICAL_DILEMMA,student_B_low,B,False,0.5597941978220229
10,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,0.5859076388420332
11,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_low,B,True,0.11704535933116175
12,mcq_privacy_1,MCQ,student_A_mid,A,False,0.5277990998652764
13,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_low,B,False,0.0
14,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,False,0.5859076388420332
15,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.11704535933116175
16,dilemma_1,ETHICAL_DILEMMA,student_B_low,B,True,0.4752928885621823
17,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,False,0.3359999999999999
18,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.0
19,synth_open_ended_8,OPEN_ENDED,student_A_high,A,False,0.47470499478078854
20,multi_agent_1,ETHICAL_DILEMMA,student_B_low,B,False,0.47470499478078854
21,synth_open_ended_14,OPEN_ENDED,student_B_mid,B,False,0.12263697867118364
22,synth_mcq_18,MCQ,student_B_mid,B,False,0.19281318168143707
23,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.16799999999999995
24,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,0.5039999999999999
25,mcq_privacy_1,MCQ,student_A_low,A,False,0.16799999999999995
26,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,0.16800000000000015
27,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,True,0.3976105327299311
28,synth_open_ended_3,OPEN_ENDED,student_A_low,A,False,0.0
29,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,0.8399999999999999
30,mcq_ethics_1,MCQ,student_A_low,A,False,0.6719999999999999
31,open_fairness_1,OPEN_ENDED,student_B_high,B,False,0.5597941978220229
32,multi_agent_2,ETHICAL_DILEMMA,student_B_high,B,False,0.016326289576172374
33,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.4752928885621823
34,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,0.12263697867118364
35,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,True,0.0
36,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,True,0.5597941978220229
37,synth_open_ended_8,OPEN_ENDED,student_B_low,B,False,0.16800000000000015
38,open_fairness_1,OPEN_ENDED,student_B_high,B,False,0.5277990998652764
39,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_low,A,True,0.26417739352851705
40,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,True,0.016326289576172374
41,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_low,A,True,0.0
42,mcq_ethics_1,MCQ,student_B_low,B,False,0.11704535933116175
43,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,0.23231746133060782
44,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,False,0.5277990998652764
45,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_low,A,True,0.33529791113053964
46,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,False,0.26417739352851705
47,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.6719999999999999
48,open_fairness_1,OPEN_ENDED,student_B_mid,B,False,0.046194083680344666
49,mcq_math_1,MCQ,student_A_mid,A,False,0.3976105327299311
50,multi_agent_2,ETHICAL_DILEMMA,student_A_low,A,False,0.046194083680344666
51,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.26417739352851705
52,mcq_ethics_1,MCQ,student_B_mid,B,True,0.09667736069420657
53,synth_open_ended_13,OPEN_ENDED,student_A_low,A,False,0.016326289576172374
54,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,0.16799999999999995
55,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_high,A,True,0.33529791113053964
56,synth_open_ended_19,OPEN_ENDED,student_A_low,A,False,0.0
57,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,0.8399999999999999
58,multi_agent_1,ETHICAL_DILEMMA,student_B_high,B,True,0.33529791113053964
59,synth_open_ended_1,OPEN_ENDED,student_B_mid,B,False,0.15792076781643075
60,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_high,A,False,0.16800000000000015
61,synth_mcq_0,MCQ,student_A_mid,A,True,0.4933353858992028
62,multi_agent_2,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
63,open_privacy_1,OPEN_ENDED,student_B_mid,B,False,0.5597941978220229
64,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.6719999999999999
65,open_math_1,OPEN_ENDED,student_B_high,B,False,0.046194083680344666
66,dilemma_3,ETHICAL_DILEMMA,student_A_mid,A,True,0.3359999999999999
67,multi_agent_2,ETHICAL_DILEMMA,student_B_high,B,False,0.0
68,mcq_privacy_1,MCQ,student_A_high,A,False,0.3359999999999999
69,synth_open_ended_15,OPEN_ENDED,student_B_mid,B,False,0.16800000000000015
70,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.3359999999999999
71,open_math_1,OPEN_ENDED,student_A_mid,A,False,0.23231746133060782
72,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_high,A,True,0.33529791113053964
73,synth_open_ended_3,OPEN_ENDED,student_A_high,A,False,0.12263697867118364
74,open_privacy_1,OPEN_ENDED,student_B_mid,B,False,0.11704535933116175
75,synth_open_ended_1,OPEN_ENDED,student_A_high,A,False,0.15792076781643075
76,synth_mcq_0,MCQ,student_A_low,A,False,0.46208961699126844
77,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,0.5277990998652764
78,mcq_ethics_1,MCQ,student_B_mid,B,False,0.47470499478078854
79,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,True,0.15792076781643075
80,synth_mcq_18,MCQ,student_B_low,B,False,0.15792076781643075
81,mcq_logic_1,MCQ,student_A_mid,A,False,0.09667736069420657
82,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.19281318168143707
83,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.09667736069420657
84,mcq_ethics_1,MCQ,student_A_mid,A,False,0.16799999999999995
85,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,True,0.8399999999999999
86,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,True,0.5039999999999999
87,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.6719999999999999
88,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,True,0.47470499478078854
89,synth_open_ended_1,OPEN_ENDED,student_A_low,A,False,0.47470499478078854
90,synth_open_ended_19,OPEN_ENDED,student_A_mid,A,False,0.16800000000000015
91,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_low,B,False,0.26417739352851705
92,open_fairness_1,OPEN_ENDED,student_B_mid,B,False,0.26417739352851705
93,synth_open_ended_15,OPEN_ENDED,student_B_high,B,False,0.0
94,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_high,A,True,0.16800000000000015
95,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.15792076781643075
96,mcq_ethics_1,MCQ,student_A_low,A,False,0.0
97,mcq_logic_1,MCQ,student_A_high,A,False,0.4752928885621823
98,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.47470499478078854
99,open_math_1,OPEN_ENDED,student_A_low,A,False,0.12263697867118364
