episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,mcq_logic_1,MCQ,student_A_high,A,True,1.736797643710313
1,open_fairness_1,OPEN_ENDED,student_A_mid,A,False,0.1777192596055846
2,synth_mcq_0,MCQ,student_B_low,B,False,1.4430972736738183
3,open_ethics_1,OPEN_ENDED,student_B_high,B,False,0.5745473317434983
4,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_high,A,True,0.8110508679870545
5,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_mid,A,True,1.9365793192006835
6,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,1.4939999999999998
7,mcq_ml_1,MCQ,student_A_high,A,True,0.8399999999999999
8,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,False,0.09667736069420657
9,dilemma_1,ETHICAL_DILEMMA,student_B_low,B,True,0.4933353858992028
10,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,False,0.2475215237899724
11,synth_mcq_18,MCQ,student_A_low,A,False,0.26417739352851705
12,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,True,0.23231746133060782
13,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.09667736069420657
14,mcq_math_1,MCQ,student_B_low,B,False,0.046194083680344666
15,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,True,0.046194083680344666
16,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,0.47470499478078854
17,synth_open_ended_19,OPEN_ENDED,student_A_high,A,False,0.16799999999999995
18,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_mid,B,True,0.16800000000000015
19,synth_mcq_18,MCQ,student_B_low,B,False,0.0
20,synth_open_ended_3,OPEN_ENDED,student_B_high,B,False,0.11704535933116175
21,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.47470499478078854
22,synth_mcq_0,MCQ,student_A_mid,A,False,0.5859076388420332
23,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,0.12263697867118364
24,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,True,0.3976105327299311
25,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.8399999999999999
26,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.47470499478078854
27,open_ethics_1,OPEN_ENDED,student_A_mid,A,False,0.09667736069420657
28,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_mid,A,True,0.5597941978220229
29,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.046194083680344666
30,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,True,0.5859076388420332
31,dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,0.5039999999999999
32,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.26417739352851705
33,synth_open_ended_12,OPEN_ENDED,student_A_high,A,False,0.0
34,dilemma_3,ETHICAL_DILEMMA,student_A_mid,A,True,0.4752928885621823
35,synth_mcq_0,MCQ,student_B_low,B,False,0.3359999999999999
36,mcq_ml_1,MCQ,student_A_mid,A,False,0.3976105327299311
37,synth_open_ended_14,OPEN_ENDED,student_B_high,B,False,0.16799999999999995
38,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_high,A,True,0.016326289576172374
39,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.26417739352851705
40,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.15792076781643075
41,synth_open_ended_15,OPEN_ENDED,student_A_mid,A,False,0.5039999999999999
42,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.5039999999999999
43,synth_open_ended_13,OPEN_ENDED,student_A_high,A,False,0.46208961699126844
44,dilemma_1,ETHICAL_DILEMMA,student_A_low,A,True,0.016326289576172374
45,synth_open_ended_12,OPEN_ENDED,student_A_low,A,False,0.0
46,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.12263697867118364
47,dilemma_3,ETHICAL_DILEMMA,student_A_low,A,True,0.16799999999999995
48,mcq_ethics_1,MCQ,student_A_low,A,False,0.5039999999999999
49,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_low,A,True,0.12263697867118364
50,mcq_ml_1,MCQ,student_B_mid,B,False,0.8399999999999999
51,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,True,0.3359999999999999
52,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_high,A,False,0.16799999999999995
53,synth_open_ended_13,OPEN_ENDED,student_A_low,A,False,0.16800000000000015
54,synth_mcq_18,MCQ,student_A_high,A,False,0.26417739352851705
55,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.11704535933116175
56,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_high,A,True,0.46208961699126844
57,dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.16800000000000015
58,multi_agent_2,ETHICAL_DILEMMA,student_B_high,B,False,0.33529791113053964
59,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,True,0.0
60,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,True,0.016326289576172374
61,synth_open_ended_19,OPEN_ENDED,student_A_low,A,False,0.12263697867118364
62,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.16800000000000015
63,mcq_privacy_1,MCQ,student_A_mid,A,False,0.5277990998652764
64,synth_open_ended_16,OPEN_ENDED,student_A_high,A,False,0.19281318168143707
65,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.16800000000000015
66,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_mid,B,True,0.046194083680344666
67,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_low,A,True,0.23231746133060782
68,multi_agent_1,ETHICAL_DILEMMA,student_B_high,B,True,0.12263697867118364
69,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.3976105327299311
70,open_ethics_1,OPEN_ENDED,student_A_high,A,False,0.33529791113053964
71,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,False,0.3359999999999999
72,multi_agent_1,ETHICAL_DILEMMA,student_B_mid,B,False,0.8399999999999999
73,synth_open_ended_3,OPEN_ENDED,student_A_low,A,False,0.016326289576172374
74,multi_agent_2,ETHICAL_DILEMMA,student_A_mid,A,False,0.47470499478078854
75,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_low,A,True,0.4752928885621823
76,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,True,0.5277990998652764
77,synth_open_ended_19,OPEN_ENDED,student_B_low,B,False,0.5597941978220229
78,synth_open_ended_3,OPEN_ENDED,student_B_mid,B,False,0.16799999999999995
79,mcq_privacy_1,MCQ,student_B_high,B,True,0.19281318168143707
80,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,True,0.3359999999999999
81,synth_mcq_0,MCQ,student_B_low,B,False,0.5277990998652764
82,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,True,0.6719999999999999
83,synth_mcq_0,MCQ,student_A_low,A,False,0.5859076388420332
84,synth_open_ended_1,OPEN_ENDED,student_B_low,B,False,0.09667736069420657
85,multi_agent_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.16800000000000015
86,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,True,0.2475215237899724
87,synth_open_ended_19,OPEN_ENDED,student_A_low,A,False,0.19281318168143707
88,dilemma_3,ETHICAL_DILEMMA,student_A_low,A,True,0.12263697867118364
89,open_privacy_1,OPEN_ENDED,student_B_mid,B,False,0.5277990998652764
90,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.046194083680344666
91,mcq_logic_1,MCQ,student_A_mid,A,False,0.16800000000000015
92,synth_mcq_18,MCQ,student_B_low,B,False,0.016326289576172374
93,dilemma_1,ETHICAL_DILEMMA,student_A_mid,A,True,0.8399999999999999
94,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_mid,B,False,0.47470499478078854
95,mcq_math_1,MCQ,student_A_mid,A,False,0.4752928885621823
96,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_high,B,True,0.0
97,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.6719999999999999
98,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.33529791113053964
99,mcq_logic_1,MCQ,student_A_mid,A,True,0.4933353858992028
