episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,False,0.04839578695793954
1,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_mid,A,False,1.077161234528766
2,open_fairness_1,OPEN_ENDED,student_B_low,B,False,1.0235310439181515
3,synth_open_ended_16,OPEN_ENDED,student_B_high,B,False,0.5444135836155625
4,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_high,A,False,0.8744135836155624
5,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_mid,A,False,1.65
6,mcq_logic_1,MCQ,student_B_mid,B,False,1.5042837350257687
7,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,False,0.5597941978220229
8,open_math_1,OPEN_ENDED,student_B_mid,B,False,0.0
9,synth_mcq_0,MCQ,student_B_low,B,False,0.16800000000000015
10,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_mid,A,False,0.19281318168143707
11,dilemma_1,ETHICAL_DILEMMA,student_A_low,A,True,0.12263697867118364
12,synth_mcq_0,MCQ,student_A_high,A,False,0.26417739352851705
13,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_low,B,True,0.0
14,synth_open_ended_15,OPEN_ENDED,student_B_low,B,False,0.09667736069420657
15,mcq_math_1,MCQ,student_A_mid,A,False,0.09667736069420657
16,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.11704535933116175
17,dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.33529791113053964
18,mcq_math_1,MCQ,student_B_mid,B,False,0.5859076388420332
19,dilemma_1,ETHICAL_DILEMMA,student_B_low,B,True,0.3976105327299311
20,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,False,0.5277990998652764
21,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.11704535933116175
22,open_fairness_1,OPEN_ENDED,student_A_mid,A,False,0.016326289576172374
23,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_high,B,True,0.046194083680344666
24,mcq_math_1,MCQ,student_A_low,A,False,0.3359999999999999
25,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.5597941978220229
26,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.11704535933116175
27,synth_open_ended_16,OPEN_ENDED,student_A_mid,A,False,0.0
28,dilemma_3,ETHICAL_DILEMMA,student_A_mid,A,False,0.6719999999999999
29,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.09667736069420657
30,mcq_math_1,MCQ,student_A_mid,A,False,0.016326289576172374
31,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,0.4933353858992028
32,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,True,0.12263697867118364
33,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.3976105327299311
34,open_ethics_1,OPEN_ENDED,student_A_mid,A,False,0.0
35,open_fairness_1,OPEN_ENDED,student_B_low,B,False,0.23231746133060782
36,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_mid,A,True,0.3359999999999999
37,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,True,0.33529791113053964
38,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,False,0.8399999999999999
39,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.12263697867118364
40,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_high,B,True,0.47470499478078854
41,mcq_privacy_1,MCQ,student_A_mid,A,False,0.4933353858992028
42,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,0.4933353858992028
43,synth_open_ended_8,OPEN_ENDED,student_A_high,A,False,0.5039999999999999
44,synth_mcq_0,MCQ,student_A_low,A,False,0.8399999999999999
45,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,0.3976105327299311
46,mcq_ml_1,MCQ,student_A_low,A,False,0.046194083680344666
47,open_ethics_1,OPEN_ENDED,student_A_low,A,False,0.33529791113053964
48,mcq_ethics_1,MCQ,student_A_low,A,False,0.4933353858992028
49,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_low,A,True,0.046194083680344666
50,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,False,0.5597941978220229
51,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.23231746133060782
52,multi_agent_1,ETHICAL_DILEMMA,student_A_high,A,True,0.33529791113053964
53,synth_open_ended_8,OPEN_ENDED,student_A_low,A,False,0.5859076388420332
54,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,True,0.12263697867118364
55,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.5277990998652764
56,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,False,0.5039999999999999
57,synth_open_ended_1,OPEN_ENDED,student_A_high,A,False,0.2475215237899724
58,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.15792076781643075
59,mcq_math_1,MCQ,student_A_low,A,False,0.16799999999999995
60,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_high,B,False,0.8399999999999999
61,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.046194083680344666
62,synth_mcq_0,MCQ,student_B_mid,B,False,0.2475215237899724
63,synth_mcq_18,MCQ,student_A_mid,A,False,0.46208961699126844
64,synth_open_ended_12,OPEN_ENDED,student_A_high,A,False,0.16800000000000015
65,mcq_ml_1,MCQ,student_B_high,B,False,0.5859076388420332
66,mcq_math_1,MCQ,student_B_mid,B,False,0.09667736069420657
67,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_low,A,True,0.26417739352851705
