episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.13693246233816456
1,synth_open_ended_13,OPEN_ENDED,student_A_low,A,False,0.21713483207352255
2,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.747161234528766
3,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,1.0019999999999998
4,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,1.158
5,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,False,1.7869324623381644
6,mcq_ethics_1,MCQ,student_A_mid,A,False,1.741318530631098
7,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,False,0.5039999999999999
8,synth_open_ended_3,OPEN_ENDED,student_B_high,B,False,0.16800000000000015
9,synth_open_ended_3,OPEN_ENDED,student_B_low,B,False,0.6719999999999999
10,synth_open_ended_14,OPEN_ENDED,student_B_low,B,False,0.016326289576172374
11,mcq_logic_1,MCQ,student_B_low,B,False,0.5277990998652764
12,synth_mcq_18,MCQ,student_A_mid,A,False,0.46208961699126844
13,multi_agent_1,ETHICAL_DILEMMA,student_B_low,B,False,0.3976105327299311
14,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_mid,A,True,0.016326289576172374
15,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,0.5277990998652764
16,synth_mcq_0,MCQ,student_B_low,B,False,0.0
17,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_mid,B,True,0.23231746133060782
18,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.16799999999999995
19,open_math_1,OPEN_ENDED,student_A_high,A,False,0.11704535933116175
20,synth_open_ended_3,OPEN_ENDED,student_B_low,B,False,0.11704535933116175
21,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_mid,B,True,0.046194083680344666
22,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.16800000000000015
23,synth_open_ended_8,OPEN_ENDED,student_B_high,B,False,0.33529791113053964
24,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,False,0.4933353858992028
25,synth_mcq_18,MCQ,student_A_low,A,False,0.33529791113053964
