episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,mcq_logic_1,MCQ,student_A_mid,A,False,0.5715533599842599
1,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_high,A,False,0.31425679219440517
2,dilemma_1,ETHICAL_DILEMMA,student_B_low,B,False,0.999389943543854
3,synth_open_ended_12,OPEN_ENDED,student_A_high,A,False,0.6666770142669793
4,open_privacy_1,OPEN_ENDED,student_B_mid,B,False,0.8744135836155624
5,synth_open_ended_8,OPEN_ENDED,student_A_low,A,False,1.4977192596055844
6,synth_open_ended_12,OPEN_ENDED,student_B_high,B,False,1.5222487550328112
7,synth_mcq_18,MCQ,student_A_mid,A,False,0.5039999999999999
8,synth_mcq_0,MCQ,student_A_mid,A,False,0.6719999999999999
9,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,False,0.5277990998652764
10,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.09667736069420657
11,open_fairness_1,OPEN_ENDED,student_B_high,B,False,0.46208961699126844
12,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_low,A,True,0.16799999999999995
13,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.5597941978220229
14,mcq_ml_1,MCQ,student_A_mid,A,False,0.0
15,dilemma_3,ETHICAL_DILEMMA,student_A_mid,A,False,0.5277990998652764
16,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,True,0.046194083680344666
17,mcq_ml_1,MCQ,student_A_high,A,False,0.33529791113053964
18,synth_open_ended_1,OPEN_ENDED,student_A_mid,A,False,0.016326289576172374
19,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.11704535933116175
20,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.09667736069420657
21,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_mid,A,True,0.16800000000000015
22,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_mid,B,True,0.016326289576172374
23,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_high,A,True,0.23231746133060782
24,synth_mcq_18,MCQ,student_A_low,A,False,0.016326289576172374
25,mcq_math_1,MCQ,student_A_high,A,False,0.15792076781643075
26,mcq_math_1,MCQ,student_B_low,B,False,0.3976105327299311
27,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,0.8399999999999999
28,synth_mcq_18,MCQ,student_A_low,A,False,0.11704535933116175
29,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.3359999999999999
30,mcq_ml_1,MCQ,student_B_high,B,False,0.19281318168143707
31,open_math_1,OPEN_ENDED,student_A_high,A,False,0.8399999999999999
32,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.16799999999999995
33,synth_mcq_0,MCQ,student_B_low,B,False,0.0
34,open_fairness_1,OPEN_ENDED,student_B_mid,B,False,0.09667736069420657
35,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,0.19281318168143707
36,synth_open_ended_13,OPEN_ENDED,student_A_high,A,False,0.3359999999999999
37,synth_open_ended_8,OPEN_ENDED,student_A_low,A,False,0.5277990998652764
38,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.47470499478078854
39,synth_open_ended_12,OPEN_ENDED,student_A_high,A,False,0.11704535933116175
40,multi_agent_1,ETHICAL_DILEMMA,student_A_mid,A,False,0.5039999999999999
41,open_ethics_1,OPEN_ENDED,student_A_mid,A,False,0.46208961699126844
42,dilemma_1,ETHICAL_DILEMMA,student_A_mid,A,False,0.5597941978220229
43,synth_open_ended_15,OPEN_ENDED,student_A_low,A,False,0.5039999999999999
44,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.16800000000000015
45,open_fairness_1,OPEN_ENDED,student_B_low,B,False,0.8399999999999999
46,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,False,0.5277990998652764
47,mcq_ethics_1,MCQ,student_A_low,A,False,0.0
48,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.47470499478078854
49,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,True,0.4752928885621823
50,synth_mcq_0,MCQ,student_B_low,B,False,0.33529791113053964
51,synth_mcq_18,MCQ,student_A_low,A,False,0.5039999999999999
52,synth_mcq_0,MCQ,student_B_mid,B,False,0.046194083680344666
53,mcq_ethics_1,MCQ,student_B_mid,B,False,0.4933353858992028
54,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,False,0.5859076388420332
55,synth_open_ended_8,OPEN_ENDED,student_A_high,A,False,0.4933353858992028
56,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.5039999999999999
57,mcq_privacy_1,MCQ,student_B_low,B,False,0.11704535933116175
58,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.16800000000000015
59,synth_mcq_18,MCQ,student_B_mid,B,False,0.4752928885621823
60,mcq_math_1,MCQ,student_A_low,A,False,0.33529791113053964
61,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,0.5277990998652764
62,mcq_logic_1,MCQ,student_B_mid,B,False,0.16800000000000015
