episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_mcq_18,MCQ,student_A_high,A,True,0.0
1,synth_open_ended_1,OPEN_ENDED,student_A_high,A,False,0.0
2,synth_mcq_18,MCQ,student_A_mid,A,True,0.0
3,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
4,multi_agent_2,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
5,synth_open_ended_19,OPEN_ENDED,student_B_high,B,False,0.0
6,synth_mcq_0,MCQ,student_A_mid,A,False,0.0
7,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
8,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,False,0.0
9,synth_mcq_0,MCQ,student_B_low,B,False,0.0
10,open_ethics_1,OPEN_ENDED,student_B_high,B,False,0.0
11,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_high,A,True,0.0
12,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
13,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
14,mcq_ml_1,MCQ,student_A_high,A,False,0.0
15,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,False,0.0
16,dilemma_1,ETHICAL_DILEMMA,student_B_low,B,False,0.0
17,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
18,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
19,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.0
20,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
21,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
22,synth_open_ended_14,OPEN_ENDED,student_B_low,B,False,0.0
23,open_ethics_1,OPEN_ENDED,student_B_high,B,False,0.0
24,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
25,dilemma_1,ETHICAL_DILEMMA,student_A_low,A,True,0.0
26,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.0
27,synth_open_ended_14,OPEN_ENDED,student_B_high,B,False,0.0
28,synth_open_ended_16,OPEN_ENDED,student_A_mid,A,False,0.0
29,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_mid,B,False,0.0
30,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,0.0
31,mcq_math_1,MCQ,student_A_mid,A,True,0.0
32,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,True,0.0
33,synth_mcq_18,MCQ,student_B_mid,B,False,0.0
34,synth_open_ended_3,OPEN_ENDED,student_B_mid,B,False,0.0
35,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,0.0
36,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.0
37,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.0
38,synth_open_ended_12,OPEN_ENDED,student_B_mid,B,False,0.0
39,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_high,B,True,0.0
40,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
41,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,0.0
42,mcq_privacy_1,MCQ,student_A_low,A,True,0.0
43,mcq_privacy_1,MCQ,student_B_mid,B,False,0.0
44,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.0
45,synth_mcq_18,MCQ,student_B_high,B,False,0.0
46,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
47,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.0
48,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_low,B,True,0.0
