episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,False,0.32825320436629485
1,synth_open_ended_3,OPEN_ENDED,student_B_low,B,True,0.5482893515977746
2,synth_open_ended_15,OPEN_ENDED,student_B_low,B,False,0.39774760744144555
3,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_low,B,False,0.4162435137090523
4,synth_open_ended_3,OPEN_ENDED,student_B_low,B,True,0.5005208885371415
5,synth_open_ended_14,OPEN_ENDED,student_B_mid,B,True,0.3174908225067198
6,synth_mcq_18,MCQ,student_B_high,B,True,0.3483815337100805
7,synth_open_ended_1,OPEN_ENDED,student_B_high,B,True,0.3797609884378559
8,synth_open_ended_12,OPEN_ENDED,student_A_mid,A,False,0.527555858950563
9,open_math_1,OPEN_ENDED,student_A_low,A,True,0.3511778905610658
10,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.4420468203170861
11,mcq_privacy_1,MCQ,student_A_low,A,True,0.530594247575297
12,dilemma_3,ETHICAL_DILEMMA,student_A_low,A,True,0.580813071014689
13,open_math_1,OPEN_ENDED,student_B_high,B,True,0.32834000041845457
14,dilemma_1,ETHICAL_DILEMMA,student_A_mid,A,False,0.5915479278182902
15,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_mid,A,False,0.5216952011746625
16,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,False,0.331769221125226
17,synth_open_ended_1,OPEN_ENDED,student_B_low,B,True,0.459230877179716
18,synth_open_ended_13,OPEN_ENDED,student_B_low,B,False,0.33158342395623747
19,synth_open_ended_16,OPEN_ENDED,student_B_low,B,True,0.3523924412807558
20,synth_open_ended_15,OPEN_ENDED,student_B_high,B,True,0.4248787277109577
21,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,0.4927449827986643
22,synth_open_ended_16,OPEN_ENDED,student_A_high,A,True,0.41025354303453837
