episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,2.49
1,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
2,mcq_ethics_1,MCQ,student_B_low,B,False,1.4939999999999998
3,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,False,0.34695588658880094
4,synth_mcq_18,MCQ,student_A_low,A,False,0.34695588658880094
5,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,1.407161234528766
6,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.9939188079940997
7,mcq_logic_1,MCQ,student_A_high,A,True,0.3635310439181515
8,mcq_ethics_1,MCQ,student_B_mid,B,False,0.9939188079940997
9,dilemma_3,ETHICAL_DILEMMA,student_A_mid,A,True,0.04839578695793954
10,synth_mcq_0,MCQ,student_A_low,A,False,0.0
11,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,1.9919999999999998
12,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.9959999999999998
13,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_mid,A,False,0.6886553318014446
14,open_privacy_1,OPEN_ENDED,student_B_low,B,False,0.2865793192006838
15,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.9939188079940997
16,synth_open_ended_14,OPEN_ENDED,student_B_high,B,False,0.7830972736738184
17,mcq_logic_1,MCQ,student_B_high,B,False,0.7830972736738184
18,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_low,A,False,1.3697656503669742
19,mcq_privacy_1,MCQ,student_A_high,A,True,1.4939999999999998
20,synth_open_ended_16,OPEN_ENDED,student_B_high,B,False,0.0
21,mcq_ethics_1,MCQ,student_B_low,B,True,0.3635310439181515
22,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_high,B,True,0.13693246233816456
23,mcq_ethics_1,MCQ,student_A_mid,A,True,0.4979999999999999
24,synth_open_ended_16,OPEN_ENDED,student_B_mid,B,False,0.9939188079940997
25,open_fairness_1,OPEN_ENDED,student_B_low,B,False,0.9939188079940997
26,mcq_ethics_1,MCQ,student_B_high,B,True,1.4089039196664688
27,synth_mcq_18,MCQ,student_B_high,B,False,0.46812227602727685
28,open_fairness_1,OPEN_ENDED,student_B_mid,B,False,0.46812227602727685
29,mcq_logic_1,MCQ,student_B_mid,B,False,1.9919999999999998
30,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_mid,B,True,0.46812227602727685
31,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.4979999999999999
32,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,1.9919999999999998
33,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_high,A,False,1.5645473317434981
34,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,1.407161234528766
35,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_high,A,False,1.4089039196664688
36,synth_open_ended_12,OPEN_ENDED,student_A_mid,A,False,0.04839578695793954
37,open_privacy_1,OPEN_ENDED,student_A_high,A,False,0.0
38,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_mid,A,False,0.0
39,mcq_privacy_1,MCQ,student_A_high,A,False,0.5715533599842599
40,open_fairness_1,OPEN_ENDED,student_B_low,B,False,0.9939188079940997
41,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_mid,B,False,0.34695588658880094
42,mcq_privacy_1,MCQ,student_A_low,A,False,1.3697656503669742
43,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_mid,B,True,0.3635310439181515
44,synth_open_ended_14,OPEN_ENDED,student_B_low,B,False,1.1786312220208672
45,mcq_math_1,MCQ,student_A_mid,A,True,0.0
46,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_low,A,True,1.9919999999999998
47,dilemma_1,ETHICAL_DILEMMA,student_A_mid,A,True,0.7337245169488467
48,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,True,0.9959999999999998
49,synth_open_ended_13,OPEN_ENDED,student_B_low,B,False,0.46812227602727685
50,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.34695588658880094
51,synth_open_ended_16,OPEN_ENDED,student_B_high,B,False,0.6886553318014446
52,mcq_privacy_1,MCQ,student_A_high,A,False,0.9939188079940997
53,synth_open_ended_19,OPEN_ENDED,student_B_high,B,False,0.46812227602727685
54,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_high,B,True,0.34695588658880094
55,dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,1.407161234528766
56,synth_open_ended_16,OPEN_ENDED,student_B_high,B,False,1.4089039196664688
57,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,True,1.407161234528766
58,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_B_low,B,True,0.3635310439181515
59,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,False,1.4939999999999998
60,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.7337245169488467
61,synth_open_ended_1,OPEN_ENDED,student_A_mid,A,False,0.6886553318014446
62,synth_open_ended_13,OPEN_ENDED,student_B_low,B,False,0.4980000000000005
63,mcq_ethics_1,MCQ,student_A_low,A,True,0.13693246233816456
64,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,False,0.2865793192006838
65,open_fairness_1,OPEN_ENDED,student_A_high,A,False,0.5715533599842599
66,synth_mcq_0,MCQ,student_A_low,A,True,1.4939999999999998
67,mcq_logic_1,MCQ,student_A_high,A,True,1.3697656503669742
68,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.0
69,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,True,0.04839578695793954
70,synth_open_ended_3,OPEN_ENDED,student_B_mid,B,False,0.0
71,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,False,1.4939999999999998
72,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,1.462387036772637
73,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_low,B,True,1.407161234528766
74,open_privacy_1,OPEN_ENDED,student_B_mid,B,False,1.659389943543854
75,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,0.9959999999999998
76,open_math_1,OPEN_ENDED,student_B_high,B,False,0.9939188079940997
77,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_mid,A,True,1.9919999999999998
78,synth_open_ended_13,OPEN_ENDED,student_A_high,A,False,0.2865793192006838
79,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.4980000000000005
80,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.46812227602727685
81,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_high,A,False,0.2865793192006838
