episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,open_privacy_1,OPEN_ENDED,student_A_high,A,False,0.6886553318014446
1,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,False,0.16799999999999995
2,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,False,1.3319999999999999
3,synth_mcq_18,MCQ,student_B_high,B,False,0.9899999999999999
4,mcq_privacy_1,MCQ,student_A_high,A,False,1.3199999999999998
5,mcq_privacy_1,MCQ,student_A_mid,A,False,1.4977192596055844
6,multi_agent_2,ETHICAL_DILEMMA,student_B_mid,B,False,1.1699999999999995
7,mcq_ml_1,MCQ,student_A_high,A,False,0.5859076388420332
8,synth_mcq_0,MCQ,student_B_mid,B,False,0.15792076781643075
9,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,True,0.0
10,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_mid,A,True,0.12263697867118364
11,open_math_1,OPEN_ENDED,student_A_low,A,False,0.6719999999999999
12,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_high,A,True,0.19281318168143707
13,mcq_privacy_1,MCQ,student_B_low,B,False,0.15792076781643075
14,synth_open_ended_1,OPEN_ENDED,student_B_low,B,False,0.16800000000000015
15,synth_open_ended_13,OPEN_ENDED,student_A_mid,A,False,0.16800000000000015
16,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,0.26417739352851705
17,dilemma_3,ETHICAL_DILEMMA,student_A_high,A,True,0.4752928885621823
18,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,0.47470499478078854
19,open_math_1,OPEN_ENDED,student_B_low,B,False,0.016326289576172374
20,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.33529791113053964
21,multi_agent_1,ETHICAL_DILEMMA,student_A_high,A,True,0.26417739352851705
22,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_mid,A,True,0.23231746133060782
23,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,True,0.16800000000000015
24,synth_open_ended_13,OPEN_ENDED,student_A_low,A,False,0.09667736069420657
25,multi_agent_1,ETHICAL_DILEMMA,student_B_mid,B,False,0.5859076388420332
26,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,True,0.26417739352851705
27,synth_mcq_18,MCQ,student_A_mid,A,False,0.15792076781643075
28,synth_open_ended_12,OPEN_ENDED,student_A_mid,A,False,0.46208961699126844
29,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,True,0.16800000000000015
30,synth_open_ended_13,OPEN_ENDED,student_A_mid,A,False,0.23231746133060782
31,synth_open_ended_14,OPEN_ENDED,student_B_high,B,False,0.8399999999999999
32,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,0.6719999999999999
33,open_ethics_1,OPEN_ENDED,student_A_high,A,False,0.016326289576172374
34,open_fairness_1,OPEN_ENDED,student_A_mid,A,False,0.5039999999999999
35,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.2475215237899724
