episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,False,0.4980000000000005
1,multi_agent_2,ETHICAL_DILEMMA,student_B_high,B,False,0.6935310439181515
2,mcq_math_1,MCQ,student_A_mid,A,True,0.8339999999999999
3,open_fairness_1,OPEN_ENDED,student_A_high,A,False,0.6065898434389948
4,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,False,1.095979590859771
5,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,0.8400000000000001
6,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,1.755979590859771
7,mcq_privacy_1,MCQ,student_B_high,B,False,0.3976105327299311
8,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_mid,B,True,0.16799999999999995
9,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.33529791113053964
10,open_math_1,OPEN_ENDED,student_A_high,A,False,0.3976105327299311
11,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_mid,A,False,0.26417739352851705
12,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.5277990998652764
13,dilemma_1,ETHICAL_DILEMMA,student_B_mid,B,True,0.0
14,synth_open_ended_12,OPEN_ENDED,student_B_high,B,False,0.33529791113053964
15,synth_open_ended_12,OPEN_ENDED,student_A_low,A,False,0.5277990998652764
16,synth_mcq_18,MCQ,student_A_mid,A,False,0.33529791113053964
17,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,True,0.2475215237899724
18,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_high,A,True,0.12263697867118364
19,synth_open_ended_16,OPEN_ENDED,student_A_high,A,False,0.33529791113053964
20,synth_mcq_18,MCQ,student_B_high,B,False,0.12263697867118364
21,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.0
22,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.16800000000000015
23,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,True,0.19281318168143707
24,multi_agent_1,ETHICAL_DILEMMA,student_B_low,B,False,0.16800000000000015
25,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_high,B,True,0.33529791113053964
26,mcq_ml_1,MCQ,student_A_high,A,False,0.016326289576172374
27,open_privacy_1,OPEN_ENDED,student_B_low,B,False,0.33529791113053964
28,mcq_ml_1,MCQ,student_A_mid,A,False,0.0
29,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.0
30,open_privacy_1,OPEN_ENDED,student_B_low,B,False,0.0
31,synth_open_ended_19,OPEN_ENDED,student_A_low,A,False,0.19281318168143707
32,mcq_ml_1,MCQ,student_A_mid,A,False,0.16800000000000015
33,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,0.016326289576172374
34,multi_agent_2,ETHICAL_DILEMMA,student_A_mid,A,False,0.3976105327299311
35,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.12263697867118364
36,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,0.15792076781643075
37,dilemma_2,ETHICAL_DILEMMA,student_A_mid,A,True,0.16800000000000015
38,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,True,0.09667736069420657
39,multi_agent_2,ETHICAL_DILEMMA,student_B_low,B,False,0.5039999999999999
40,synth_open_ended_16,OPEN_ENDED,student_A_mid,A,False,0.09667736069420657
41,mcq_ethics_1,MCQ,student_A_high,A,True,0.16800000000000015
42,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,True,0.33529791113053964
43,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_low,A,False,0.16800000000000015
44,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_high,B,True,0.11704535933116175
45,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.46208961699126844
46,mcq_privacy_1,MCQ,student_B_mid,B,False,0.5597941978220229
47,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_low,B,True,0.4933353858992028
48,multi_agent_2,ETHICAL_DILEMMA,student_A_low,A,False,0.5039999999999999
49,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,True,0.3976105327299311
50,dilemma_1,ETHICAL_DILEMMA,student_A_high,A,True,0.5277990998652764
