episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,mcq_privacy_1,MCQ,student_B_low,B,False,0.7830972736738184
1,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_B_high,B,False,0.6165793192006839
2,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,False,0.747161234528766
3,open_fairness_1,OPEN_ENDED,student_B_high,B,False,1.0019999999999998
4,synth_mcq_18,MCQ,student_A_high,A,False,0.9365898434389948
5,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,1.1101984521001915
6,multi_agent_2,ETHICAL_DILEMMA,student_B_mid,B,False,2.116932462338164
7,synth_open_ended_12,OPEN_ENDED,student_B_high,B,False,0.16799999999999995
8,synth_open_ended_12,OPEN_ENDED,student_A_low,A,False,0.2475215237899724
9,mcq_ml_1,MCQ,student_A_mid,A,False,0.23231746133060782
10,open_ethics_1,OPEN_ENDED,student_A_mid,A,False,0.6719999999999999
11,mcq_privacy_1,MCQ,student_B_mid,B,False,0.5859076388420332
12,dilemma_3,ETHICAL_DILEMMA,student_B_mid,B,True,0.2475215237899724
13,synth_open_ended_12,OPEN_ENDED,student_A_mid,A,False,0.0
14,synth_mcq_0,MCQ,student_A_low,A,False,0.09667736069420657
15,synth_open_ended_3,OPEN_ENDED,student_B_low,B,False,0.0
16,mcq_logic_1,MCQ,student_A_low,A,False,0.3359999999999999
17,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_low,B,True,0.3359999999999999
18,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.4933353858992028
19,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,False,0.16800000000000015
20,open_ethics_1,OPEN_ENDED,student_A_low,A,False,0.0
21,synth_open_ended_13,OPEN_ENDED,student_B_low,B,False,0.12263697867118364
22,mcq_ethics_1,MCQ,student_A_mid,A,False,0.6719999999999999
23,open_privacy_1,OPEN_ENDED,student_A_low,A,False,0.3976105327299311
24,mcq_privacy_1,MCQ,student_A_high,A,False,0.3976105327299311
25,synth_mcq_0,MCQ,student_A_low,A,False,0.46208961699126844
26,dilemma_2,ETHICAL_DILEMMA,student_B_mid,B,True,0.09667736069420657
27,open_math_1,OPEN_ENDED,student_A_mid,A,False,0.3359999999999999
28,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_low,B,True,0.3359999999999999
29,dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.15792076781643075
30,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_high,B,True,0.23231746133060782
31,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,0.4933353858992028
32,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,False,0.5039999999999999
33,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_mid,B,True,0.16799999999999995
34,synth_open_ended_3,OPEN_ENDED,student_A_high,A,False,0.12263697867118364
35,synth_ethical_dilemma_7,ETHICAL_DILEMMA,student_A_low,A,True,0.46208961699126844
36,multi_agent_2,ETHICAL_DILEMMA,student_A_high,A,False,0.5597941978220229
37,open_fairness_1,OPEN_ENDED,student_A_mid,A,False,0.8399999999999999
38,synth_open_ended_14,OPEN_ENDED,student_B_low,B,False,0.19281318168143707
39,synth_mcq_0,MCQ,student_A_high,A,False,0.3359999999999999
40,synth_mcq_18,MCQ,student_B_high,B,False,0.046194083680344666
41,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,0.46208961699126844
42,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_high,A,True,0.3359999999999999
43,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.26417739352851705
44,synth_open_ended_3,OPEN_ENDED,student_B_high,B,False,0.12263697867118364
45,mcq_logic_1,MCQ,student_B_mid,B,False,0.3359999999999999
46,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,0.6719999999999999
47,synth_open_ended_15,OPEN_ENDED,student_A_high,A,False,0.16800000000000015
48,multi_agent_1,ETHICAL_DILEMMA,student_A_low,A,False,0.3359999999999999
49,mcq_ethics_1,MCQ,student_A_mid,A,False,0.8399999999999999
50,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_low,A,True,0.16799999999999995
