episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_mid,A,False,1.736797643710313
1,open_privacy_1,OPEN_ENDED,student_B_high,B,False,0.46693246233816454
2,synth_open_ended_15,OPEN_ENDED,student_A_mid,A,False,0.8023870367726369
3,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,False,0.6659999999999999
4,synth_mcq_0,MCQ,student_B_mid,B,False,2.1030972736738183
5,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,1.1101984521001915
6,mcq_ml_1,MCQ,student_A_mid,A,False,2.7630972736738184
7,synth_mcq_18,MCQ,student_B_high,B,False,0.3359999999999999
8,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_mid,B,True,0.33529791113053964
9,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.15792076781643075
10,synth_open_ended_19,OPEN_ENDED,student_A_high,A,False,0.3359999999999999
11,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_mid,A,True,0.12263697867118364
12,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_low,B,True,0.46208961699126844
13,synth_mcq_0,MCQ,student_B_mid,B,False,0.3976105327299311
14,synth_open_ended_14,OPEN_ENDED,student_B_high,B,False,0.15792076781643075
15,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,0.46208961699126844
16,dilemma_1,ETHICAL_DILEMMA,student_A_mid,A,True,0.15792076781643075
17,mcq_math_1,MCQ,student_B_low,B,False,0.19281318168143707
18,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.046194083680344666
19,synth_open_ended_12,OPEN_ENDED,student_A_high,A,False,0.15792076781643075
20,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,True,0.046194083680344666
21,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,0.3976105327299311
22,mcq_ml_1,MCQ,student_B_high,B,False,0.5859076388420332
23,synth_mcq_0,MCQ,student_A_high,A,False,0.16800000000000015
24,synth_open_ended_3,OPEN_ENDED,student_B_low,B,False,0.2475215237899724
25,mcq_math_1,MCQ,student_B_high,B,False,0.15792076781643075
26,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,False,0.8399999999999999
27,mcq_ml_1,MCQ,student_B_low,B,False,0.15792076781643075
28,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_mid,A,True,0.16799999999999995
29,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,0.16799999999999995
30,mcq_ml_1,MCQ,student_B_low,B,False,0.3976105327299311
31,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,True,0.16800000000000015
32,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_mid,A,False,0.5859076388420332
33,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,0.8399999999999999
34,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,0.3359999999999999
35,synth_open_ended_1,OPEN_ENDED,student_A_low,A,False,0.046194083680344666
