episode,task_id,task_type,student_id,demographic_group,correct,dissonance
0,mcq_ml_1,MCQ,student_A_high,A,False,0.9959999999999998
1,synth_mcq_0,MCQ,student_A_mid,A,False,0.34695588658880094
2,synth_open_ended_8,OPEN_ENDED,student_B_mid,B,False,0.4979999999999999
3,open_fairness_1,OPEN_ENDED,student_B_high,B,False,1.407161234528766
4,mcq_math_1,MCQ,student_A_mid,A,False,1.659389943543854
5,synth_mcq_0,MCQ,student_A_low,A,False,0.4979999999999999
6,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_low,A,True,0.2865793192006838
7,dilemma_3,ETHICAL_DILEMMA,student_A_low,A,False,0.2865793192006838
8,mcq_privacy_1,MCQ,student_A_mid,A,False,0.7337245169488467
9,open_privacy_1,OPEN_ENDED,student_A_mid,A,False,1.4939999999999998
10,synth_ethical_dilemma_6,ETHICAL_DILEMMA,student_A_low,A,True,1.462387036772637
11,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_low,A,True,0.9939188079940997
12,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,0.13693246233816456
13,synth_mcq_18,MCQ,student_B_high,B,True,0.13693246233816456
14,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_high,A,True,0.9939188079940997
15,open_fairness_1,OPEN_ENDED,student_B_low,B,False,0.2865793192006838
16,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.34695588658880094
17,open_ethics_1,OPEN_ENDED,student_A_high,A,False,0.46812227602727685
18,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,1.407161234528766
19,dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,1.5645473317434981
20,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_low,B,True,0.46812227602727685
21,synth_open_ended_19,OPEN_ENDED,student_B_low,B,False,0.13693246233816456
22,mcq_privacy_1,MCQ,student_A_low,A,False,0.5715533599842599
23,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_A_mid,A,True,1.9919999999999998
24,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,1.659389943543854
25,synth_open_ended_13,OPEN_ENDED,student_B_high,B,False,0.3635310439181515
26,dilemma_3,ETHICAL_DILEMMA,student_B_low,B,False,0.46812227602727685
27,mcq_ethics_1,MCQ,student_A_high,A,False,1.9919999999999998
28,synth_open_ended_8,OPEN_ENDED,student_A_mid,A,False,0.4980000000000005
29,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_mid,A,True,0.4979999999999999
30,synth_open_ended_3,OPEN_ENDED,student_A_low,A,False,0.7337245169488467
31,synth_ethical_dilemma_9,ETHICAL_DILEMMA,student_B_high,B,True,0.4980000000000005
32,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_B_low,B,True,0.46812227602727685
33,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_A_mid,A,True,0.0
34,mcq_privacy_1,MCQ,student_B_low,B,False,0.7337245169488467
35,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.34695588658880094
36,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_high,B,True,1.1786312220208672
37,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_A_high,A,True,0.9939188079940997
38,synth_open_ended_3,OPEN_ENDED,student_B_mid,B,False,1.659389943543854
39,synth_open_ended_16,OPEN_ENDED,student_B_low,B,False,2.49
40,synth_mcq_0,MCQ,student_B_high,B,True,0.0
41,synth_open_ended_3,OPEN_ENDED,student_B_high,B,False,1.9919999999999998
42,synth_ethical_dilemma_11,ETHICAL_DILEMMA,student_B_low,B,True,0.0
43,dilemma_1,ETHICAL_DILEMMA,student_A_low,A,True,1.5645473317434981
44,synth_open_ended_1,OPEN_ENDED,student_A_high,A,False,0.7337245169488467
45,open_math_1,OPEN_ENDED,student_A_high,A,False,0.4980000000000005
46,synth_open_ended_13,OPEN_ENDED,student_A_mid,A,False,1.9919999999999998
47,open_math_1,OPEN_ENDED,student_A_mid,A,False,0.7830972736738184
48,synth_open_ended_13,OPEN_ENDED,student_B_mid,B,False,1.9919999999999998
49,open_math_1,OPEN_ENDED,student_B_low,B,False,1.4089039196664688
50,synth_open_ended_14,OPEN_ENDED,student_A_mid,A,False,0.5715533599842599
51,dilemma_2,ETHICAL_DILEMMA,student_A_low,A,False,0.0
52,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_mid,B,False,1.5645473317434981
53,synth_open_ended_1,OPEN_ENDED,student_B_high,B,False,1.1786312220208672
54,mcq_ml_1,MCQ,student_A_mid,A,True,0.4980000000000005
55,synth_mcq_18,MCQ,student_B_low,B,False,0.4980000000000005
56,dilemma_2,ETHICAL_DILEMMA,student_B_low,B,False,0.13693246233816456
57,synth_mcq_18,MCQ,student_A_mid,A,False,1.9919999999999998
58,synth_mcq_0,MCQ,student_A_low,A,True,0.0
59,mcq_math_1,MCQ,student_A_high,A,False,0.5715533599842599
60,synth_open_ended_12,OPEN_ENDED,student_B_mid,B,False,0.04839578695793954
61,mcq_ethics_1,MCQ,student_A_mid,A,True,1.4939999999999998
62,synth_open_ended_15,OPEN_ENDED,student_A_high,A,False,0.6886553318014446
63,open_ethics_1,OPEN_ENDED,student_A_high,A,False,1.407161234528766
64,synth_open_ended_8,OPEN_ENDED,student_B_low,B,False,0.9939188079940997
65,synth_open_ended_1,OPEN_ENDED,student_A_low,A,False,0.04839578695793954
66,synth_open_ended_3,OPEN_ENDED,student_A_mid,A,False,0.3635310439181515
67,open_ethics_1,OPEN_ENDED,student_B_mid,B,False,0.9939188079940997
68,open_math_1,OPEN_ENDED,student_B_high,B,False,0.46812227602727685
69,mcq_ethics_1,MCQ,student_A_low,A,True,0.0
70,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_B_low,B,False,1.4089039196664688
71,synth_mcq_18,MCQ,student_A_high,A,False,1.9919999999999998
72,mcq_logic_1,MCQ,student_B_low,B,True,0.4979999999999999
73,dilemma_1,ETHICAL_DILEMMA,student_B_high,B,False,0.13693246233816456
74,mcq_ml_1,MCQ,student_A_high,A,False,1.4089039196664688
75,synth_open_ended_8,OPEN_ENDED,student_A_low,A,False,0.13693246233816456
76,synth_open_ended_12,OPEN_ENDED,student_B_mid,B,False,0.04839578695793954
77,mcq_privacy_1,MCQ,student_B_high,B,False,1.462387036772637
78,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_B_mid,B,True,0.34695588658880094
79,synth_ethical_dilemma_10,ETHICAL_DILEMMA,student_A_low,A,False,1.5645473317434981
80,synth_ethical_dilemma_2,ETHICAL_DILEMMA,student_A_high,A,True,0.5715533599842599
81,mcq_ml_1,MCQ,student_A_high,A,True,0.04839578695793954
82,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_A_high,A,True,1.4939999999999998
83,synth_open_ended_3,OPEN_ENDED,student_A_low,A,False,1.659389943543854
84,synth_open_ended_14,OPEN_ENDED,student_A_high,A,False,0.9939188079940997
85,synth_ethical_dilemma_5,ETHICAL_DILEMMA,student_A_high,A,False,1.659389943543854
86,open_ethics_1,OPEN_ENDED,student_B_high,B,False,0.7830972736738184
87,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,0.6886553318014446
88,synth_open_ended_14,OPEN_ENDED,student_A_low,A,False,1.1786312220208672
89,synth_open_ended_12,OPEN_ENDED,student_B_low,B,False,1.5645473317434981
90,dilemma_2,ETHICAL_DILEMMA,student_B_high,B,True,1.1786312220208672
91,synth_open_ended_19,OPEN_ENDED,student_B_mid,B,False,1.9919999999999998
92,mcq_logic_1,MCQ,student_A_high,A,True,0.0
93,synth_ethical_dilemma_17,ETHICAL_DILEMMA,student_B_mid,B,True,0.4980000000000005
94,synth_open_ended_8,OPEN_ENDED,student_B_low,B,False,0.13693246233816456
95,open_ethics_1,OPEN_ENDED,student_B_low,B,False,0.9939188079940997
96,synth_ethical_dilemma_4,ETHICAL_DILEMMA,student_B_high,B,True,0.0
97,synth_open_ended_3,OPEN_ENDED,student_A_low,A,False,0.34695588658880094
98,open_math_1,OPEN_ENDED,student_B_high,B,False,0.2865793192006838
99,synth_open_ended_3,OPEN_ENDED,student_B_high,B,False,2.49
